Lexeme                     Token                         Position
(                          ORG_OPEN_PAREN                (67,32)
)                          ORG_CLOSE_PAREN               (67,34)
;                          PUNCT_SEMICOL                 (67,35)
if                         W_IF                          (68,2)
(                          ORG_OPEN_PAREN                (68,4)
firstWord                  EL_ID                         (68,14)
.                          PUNCT_DOT                     (68,16)
charAt                     EL_ID                         (68,23)
(                          ORG_OPEN_PAREN                (68,25)
0                          EL_INTEGER                    (68,27)
)                          ORG_CLOSE_PAREN               (68,29)
==                         OP_EQUAL                      (68,32)
)                          ORG_CLOSE_PAREN               (68,39)
{                          ORG_OPEN_CURLY                (68,28)
if                         W_IF                          (69,0)
(                          ORG_OPEN_PAREN                (69,3)
firstWord                  EL_ID                         (69,13)
.                          PUNCT_DOT                     (69,15)
equals                     EL_ID                         (69,22)
(                          ORG_OPEN_PAREN                (69,24)
single                     EL_ID                         (69,37)
)                          ORG_CLOSE_PAREN               (69,41)
)                          ORG_CLOSE_PAREN               (69,42)
{                          ORG_OPEN_CURLY                (69,32)
mode                       EL_ID                         (70,0)
=                          OP_ASSIGN                     (70,4)
MODES                      EL_ID                         (70,10)
.                          PUNCT_DOT                     (70,12)
SINGLE                     EL_ID                         (70,19)
;                          PUNCT_SEMICOL                 (70,20)
return                     W_RETURN                      (71,0)
true                       EL_ID                         (71,10)
;                          PUNCT_SEMICOL                 (71,11)
}                          ORG_CLOSE_CURLY               (72,0)
else                       W_ELSE                        (73,0)
if                         W_IF                          (73,4)
(                          ORG_OPEN_PAREN                (73,7)
firstWord                  EL_ID                         (73,17)
.                          PUNCT_DOT                     (73,19)
equals                     EL_ID                         (73,26)
(                          ORG_OPEN_PAREN                (73,28)
transform                  EL_ID                         (73,44)
)                          ORG_CLOSE_PAREN               (73,48)
)                          ORG_CLOSE_PAREN               (73,50)
{                          ORG_OPEN_CURLY                (73,51)
mode                       EL_ID                         (74,0)
=                          OP_ASSIGN                     (74,4)
MODES                      EL_ID                         (74,10)
.                          PUNCT_DOT                     (74,12)
TRANSFORM                  EL_ID                         (74,22)
;                          PUNCT_SEMICOL                 (74,23)
return                     W_RETURN                      (75,0)
true                       EL_ID                         (75,10)
;                          PUNCT_SEMICOL                 (75,11)
}                          ORG_CLOSE_CURLY               (76,0)
else                       W_ELSE                        (77,0)
if                         W_IF                          (77,6)
(                          ORG_OPEN_PAREN                (77,8)
firstWord                  EL_ID                         (77,18)
.                          PUNCT_DOT                     (77,20)
equals                     EL_ID                         (77,27)
(                          ORG_OPEN_PAREN                (77,29)
link                       EL_ID                         (77,40)
)                          ORG_CLOSE_PAREN               (77,44)
)                          ORG_CLOSE_PAREN               (77,46)
{                          ORG_OPEN_CURLY                (77,47)
mode                       EL_ID                         (78,0)
=                          OP_ASSIGN                     (78,4)
MODES                      EL_ID                         (78,10)
.                          PUNCT_DOT                     (78,12)
LINK                       EL_ID                         (78,17)
;                          PUNCT_SEMICOL                 (78,18)
return                     W_RETURN                      (79,0)
true                       EL_ID                         (79,10)
;                          PUNCT_SEMICOL                 (79,11)
}                          ORG_CLOSE_CURLY               (80,0)
else                       W_ELSE                        (81,0)
if                         W_IF                          (81,4)
(                          ORG_OPEN_PAREN                (81,7)
firstWord                  EL_ID                         (81,17)
.                          PUNCT_DOT                     (81,19)
equals                     EL_ID                         (81,26)
(                          ORG_OPEN_PAREN                (81,28)
end                        EL_ID                         (81,38)
)                          ORG_CLOSE_PAREN               (81,41)
(                          ORG_OPEN_PAREN                (81,35)
mode                       EL_ID                         (81,36)
==                         OP_EQUAL                      (81,39)
MODES                      EL_ID                         (81,46)
.                          PUNCT_DOT                     (81,48)
SINGLE                     EL_ID                         (81,49)
mode                       EL_ID                         (81,55)
==                         OP_EQUAL                      (81,59)
MODES                      EL_ID                         (81,66)
.                          PUNCT_DOT                     (81,68)
TRANSFORM                  EL_ID                         (81,69)
mode                       EL_ID                         (81,78)
==                         OP_EQUAL                      (81,82)
MODES                      EL_ID                         (81,89)
.                          PUNCT_DOT                     (81,91)
LINK                       EL_ID                         (81,96)
)                          ORG_CLOSE_PAREN               (81,98)
)                          ORG_CLOSE_PAREN               (81,99)
{                          ORG_OPEN_CURLY                (81,96)
mode                       EL_ID                         (82,0)
=                          OP_ASSIGN                     (82,4)
MODES                      EL_ID                         (82,10)
.                          PUNCT_DOT                     (82,12)
NONE                       EL_ID                         (82,17)
;                          PUNCT_SEMICOL                 (82,18)
return                     W_RETURN                      (83,0)
true                       EL_ID                         (83,10)
;                          PUNCT_SEMICOL                 (83,11)
}                          ORG_CLOSE_CURLY               (84,0)
return                     W_RETURN                      (85,0)
false                      EL_ID                         (85,11)
;                          PUNCT_SEMICOL                 (85,12)
}                          ORG_CLOSE_CURLY               (86,0)
return                     W_RETURN                      (87,0)
false                      EL_ID                         (87,11)
;                          PUNCT_SEMICOL                 (87,12)
}                          ORG_CLOSE_CURLY               (88,0)
private                    EL_ID                         (90,0)
void                       EL_ID                         (90,7)
addSingle                  EL_ID                         (90,20)
(                          ORG_OPEN_PAREN                (90,22)
String                     EL_ID                         (90,23)
line                       EL_ID                         (90,31)
,                          PUNCT_COMMA                   (90,33)
int                        W_INT                         (90,34)
lineNum                    EL_ID                         (90,42)
)                          ORG_CLOSE_PAREN               (90,44)
{                          ORG_OPEN_CURLY                (90,45)
Scanner                    EL_ID                         (91,0)
scan                       EL_ID                         (91,7)
=                          OP_ASSIGN                     (91,11)
new                        EL_ID                         (91,12)
Scanner                    EL_ID                         (91,22)
(                          ORG_OPEN_PAREN                (91,24)
line                       EL_ID                         (91,29)
)                          ORG_CLOSE_PAREN               (91,31)
;                          PUNCT_SEMICOL                 (91,32)
String                     EL_ID                         (92,0)
lexeme                     EL_ID                         (92,6)
=                          OP_ASSIGN                     (92,12)
scan                       EL_ID                         (92,17)
.                          PUNCT_DOT                     (92,19)
next                       EL_ID                         (92,24)
(                          ORG_OPEN_PAREN                (92,26)
)                          ORG_CLOSE_PAREN               (92,28)
;                          PUNCT_SEMICOL                 (92,29)
String                     EL_ID                         (93,0)
token                      EL_ID                         (93,6)
=                          OP_ASSIGN                     (93,11)
scan                       EL_ID                         (93,16)
.                          PUNCT_DOT                     (93,18)
next                       EL_ID                         (93,23)
(                          ORG_OPEN_PAREN                (93,25)
)                          ORG_CLOSE_PAREN               (93,27)
;                          PUNCT_SEMICOL                 (93,28)
String                     EL_ID                         (94,0)
path                       EL_ID                         (94,10)
;                          PUNCT_SEMICOL                 (94,11)
boolean                    EL_ID                         (95,0)
hasPath                    EL_ID                         (95,7)
=                          OP_ASSIGN                     (95,14)
false                      EL_ID                         (95,20)
;                          PUNCT_SEMICOL                 (95,21)
Token                      EL_ID                         (96,5)
.                          PUNCT_DOT                     (96,7)
TOKEN                      EL_ID                         (96,8)
tokenValue                 EL_ID                         (96,11)
=                          OP_ASSIGN                     (96,21)
Token                      EL_ID                         (96,27)
.                          PUNCT_DOT                     (96,29)
TOKEN                      EL_ID                         (96,35)
.                          PUNCT_DOT                     (96,37)
NOTHING                    EL_ID                         (96,45)
;                          PUNCT_SEMICOL                 (96,46)
Token                      EL_ID                         (97,5)
.                          PUNCT_DOT                     (97,7)
TOKEN                      EL_ID                         (97,8)
pathValue                  EL_ID                         (97,11)
=                          OP_ASSIGN                     (97,20)
Token                      EL_ID                         (97,26)
.                          PUNCT_DOT                     (97,28)
TOKEN                      EL_ID                         (97,34)
.                          PUNCT_DOT                     (97,36)
NOTHING                    EL_ID                         (97,44)
;                          PUNCT_SEMICOL                 (97,45)
char                       EL_ID                         (98,0)
input                      EL_ID                         (98,9)
;                          PUNCT_SEMICOL                 (98,10)
try                        EL_ID                         (100,3)
{                          ORG_OPEN_CURLY                (100,4)
tokenValue                 EL_ID                         (101,0)
=                          OP_ASSIGN                     (101,10)
Token                      EL_ID                         (101,16)
.                          PUNCT_DOT                     (101,18)
TOKEN                      EL_ID                         (101,24)
.                          PUNCT_DOT                     (101,26)
valueOf                    EL_ID                         (101,34)
(                          ORG_OPEN_PAREN                (101,36)
token                      EL_ID                         (101,42)
)                          ORG_CLOSE_PAREN               (101,44)
;                          PUNCT_SEMICOL                 (101,45)
}                          ORG_CLOSE_CURLY               (102,0)
catch                      EL_ID                         (103,5)
(                          ORG_OPEN_PAREN                (103,7)
Exception                  EL_ID                         (103,8)
e                          EL_ID                         (103,16)
)                          ORG_CLOSE_PAREN               (103,18)
{                          ORG_OPEN_CURLY                (103,19)
System                     EL_ID                         (104,6)
.                          PUNCT_DOT                     (104,8)
out                        EL_ID                         (104,12)
.                          PUNCT_DOT                     (104,14)
println                    EL_ID                         (104,22)
(                          ORG_OPEN_PAREN                (104,24)
Could                      EL_ID                         (104,27)
not                        OP_NOT                        (104,25)
match                      EL_ID                         (104,28)
token                      EL_ID                         (104,33)
value                      EL_ID                         (104,43)
+                          OP_PLUS                       (104,47)
token                      EL_ID                         (104,53)
+                          OP_PLUS                       (104,55)
at                         EL_ID                         (104,53)
line                       EL_ID                         (104,55)
+                          OP_PLUS                       (104,62)
lineNum                    EL_ID                         (104,70)
)                          ORG_CLOSE_PAREN               (104,72)
;                          PUNCT_SEMICOL                 (104,73)
